date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:46:37+00:00,dailystarnews,The Daily Star,"#Covid19 has taken a heavy toll on privately run #primaryschools, resulting in permanent closure of 14,111 of the… https://t.co/c4ZCCs5pMF",0,1,Bangladesh,"#Covid19 has taken a heavy toll on privately run #primaryschools, resulting in permanent closure of 14,111 of the… https://t.co/c4ZCCs5pMF"
2022-04-05 06:46:11+00:00,Ubaid05375452,Ubaid,"https://t.co/VBVmofngGR

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/EX0REdVHmG",0,0,,"https://t.co/VBVmofngGR

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/EX0REdVHmG"
2022-04-05 06:45:54+00:00,shawan1st,Shahadat Hossain,"@VenuGop25040339 @ESPNcricinfo So you do not know that, after ODI series Bangladesh cricket board has filed a compl… https://t.co/SuGHxvr86U",0,0,"Dhaka, Bangladesh","@VenuGop25040339 @ESPNcricinfo So you do not know that, after ODI series Bangladesh cricket board has filed a compl… https://t.co/SuGHxvr86U"
2022-04-05 06:43:31+00:00,geolocationms,GMS World,"Discover hotels around Dhaka, Bangladesh from 10 USD per night: https://t.co/8KHfePehuo https://t.co/DIJKPZPrJe",0,0,"Warsaw, Poland","Discover hotels around Dhaka, Bangladesh from 10 USD per night: https://t.co/8KHfePehuo https://t.co/DIJKPZPrJe"
2022-04-05 06:43:20+00:00,iSoumikSaheb,বাংলার ছেলে 🇧🇩,"Even #Ramadan Couldn't Stop People From Lust Of Land And Killing An Innocent, Two Group Fought At Sylhet For Contro… https://t.co/O8qFfo7hG5",0,2,"Dhaka, Bangladesh","Even #Ramadan Couldn't Stop People From Lust Of Land And Killing An Innocent, Two Group Fought At Sylhet For Contro… https://t.co/O8qFfo7hG5"
2022-04-05 06:42:35+00:00,silvie_simon,Solent Green,"@Jonathanacwort7 @BorisJohnson Even worse Pakistan, Bangladesh, India and China!!!",0,0,,"@Jonathanacwort7 @BorisJohnson Even worse Pakistan, Bangladesh, India and China!!!"
2022-04-05 06:42:30+00:00,Mahi01138334,Mahi,"https://t.co/Szm0yLhmGX

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/yuUy5pnLwi",0,0,,"https://t.co/Szm0yLhmGX

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/yuUy5pnLwi"
2022-04-05 06:42:18+00:00,BezmialemBilsab,"BILSAB, Bezmialem Vakıf University","Our faculty Dr M.Asif Khan of BILSAB, Big Data and Bioinformatics Lab participated as an invited speaker at the Asi… https://t.co/97XPNtQzy8",0,0,,"Our faculty Dr M.Asif Khan of BILSAB, Big Data and Bioinformatics Lab participated as an invited speaker at the Asi… https://t.co/97XPNtQzy8"
2022-04-05 06:41:15+00:00,shivi_bhardwaj9,BHARDWAJ SHIVAJI,"@BesimeH @RupeshR32164204 @jihadwatchRS @cjwerleman You workshop evil inthink, that's why..you don't know about his… https://t.co/kvjq2AQ9bb",0,0,"New Delhi, India","@BesimeH @RupeshR32164204 @jihadwatchRS @cjwerleman You workshop evil inthink, that's why..you don't know about his… https://t.co/kvjq2AQ9bb"
2022-04-05 06:40:56+00:00,shadmanalarbi,Shadman Al Arbi,"Merchandise exports rose to $4.76 billion in March, up nearly 55 percent year-on-year
https://t.co/R140IFW1QH… https://t.co/7h1TAQW5cz",0,0,"Dhaka, Bangladesh","Merchandise exports rose to $4.76 billion in March, up nearly 55 percent year-on-year
https://t.co/R140IFW1QH… https://t.co/7h1TAQW5cz"
2022-04-05 06:40:04+00:00,Anatadaephobia,Anatidaephobia 🇺🇦🇪🇺🇬🇧🇺🇳,"@TCWimbledon90 @rec777777 @AlStewartOBE @Bazza22260 Did you vote Leave due to immigrants?

Did you know that illega… https://t.co/R3wd5rrkY7",0,2,Right. Behind. You.,"@TCWimbledon90 @rec777777 @AlStewartOBE @Bazza22260 Did you vote Leave due to immigrants?

Did you know that illega… https://t.co/R3wd5rrkY7"
2022-04-05 06:39:52+00:00,ZeeshanHasan1,Zeeshan Hasan,"@Ayishas12 

Please watch and share Tomorrow, an animated short film about #ClimateCrisis that @KaziZahinHasan1 and… https://t.co/fy1tQHlgYk",0,0,"London, England","@Ayishas12 

Please watch and share Tomorrow, an animated short film about #ClimateCrisis that @KaziZahinHasan1 and… https://t.co/fy1tQHlgYk"
2022-04-05 06:39:32+00:00,BhawaniPallavi,Pallavi Sharma,Another name for BSF is #HumanityFirst . BSF #GoodWillGesture winning hearts. Bangladesh sisters allowed to pay las… https://t.co/bESa3tFMTG,1,1,INDIA,Another name for BSF is #HumanityFirst . BSF #GoodWillGesture winning hearts. Bangladesh sisters allowed to pay las… https://t.co/bESa3tFMTG
2022-04-05 06:39:16+00:00,Ain45452511,Ain,"https://t.co/eus57phgks

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/sBr9tmAVbV",0,0,,"https://t.co/eus57phgks

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/sBr9tmAVbV"
2022-04-05 06:38:59+00:00,dailystarnews,The Daily Star,"Bibiana, in Habiganj's Nabiganj, has 26 wells.  Six of them stopped working as dirt accumulated in the pipelines.… https://t.co/KzzEeRmQKz",0,2,Bangladesh,"Bibiana, in Habiganj's Nabiganj, has 26 wells.  Six of them stopped working as dirt accumulated in the pipelines.… https://t.co/KzzEeRmQKz"
2022-04-05 06:38:42+00:00,Jannat_Firdouse,Jannatul 💥🇧🇩,I am Warrior from Bangladesh 🇧🇩 &amp; I am requesting honourable @PMOIndia ji to ask CBI for an Complete Update about S… https://t.co/J7hpoeTawL,17,9,"Dhaka, Bangladesh",I am Warrior from Bangladesh 🇧🇩 &amp; I am requesting honourable @PMOIndia ji to ask CBI for an Complete Update about S… https://t.co/J7hpoeTawL
2022-04-05 06:38:36+00:00,SurajBiswa8,Suraj Biswa,"@LuminousLeo_ @DrShobha @NarundarM Pakistan aur Bangladesh ke bare me bhi kuch kaho, as far as Saudi Arabia is conc… https://t.co/0hVEUp1vlE",0,0,,"@LuminousLeo_ @DrShobha @NarundarM Pakistan aur Bangladesh ke bare me bhi kuch kaho, as far as Saudi Arabia is conc… https://t.co/0hVEUp1vlE"
2022-04-05 06:37:39+00:00,PSivapereeman,Priya Sivapereeman,"Dhaka cop assaults Hindu woman for wearing Bindi, arrested; Protests in Bangladesh. Cop arrested in Bangladesh for… https://t.co/FSJtxnVD7G",0,0,,"Dhaka cop assaults Hindu woman for wearing Bindi, arrested; Protests in Bangladesh. Cop arrested in Bangladesh for… https://t.co/FSJtxnVD7G"
2022-04-05 06:37:32+00:00,cricclubs,CricClubs,"Updated World Test Championship points table post South Africa's win against Bangladesh in the 1st Test. 

#ICC… https://t.co/wKnofr1kne",0,1,,"Updated World Test Championship points table post South Africa's win against Bangladesh in the 1st Test. 

#ICC… https://t.co/wKnofr1kne"
2022-04-05 06:37:19+00:00,CharlesTannock,Dr Charles Tannock,"@jwsal @SarahLudford @LibDemLords We had common interests in both at Balliol, Somaliland, Bangladesh, Chagos Island… https://t.co/LPR5Yzh7g0",0,1,UK & EU ,"@jwsal @SarahLudford @LibDemLords We had common interests in both at Balliol, Somaliland, Bangladesh, Chagos Island… https://t.co/LPR5Yzh7g0"
2022-04-05 06:36:50+00:00,KataruNaidu,Dr Ramesh Naidu Kataru,"@SabinehazanMD Facts about IVM, the SAFEST, Nobel Prize, WONDER drug that is saving DEVELOPING countries like INDIA… https://t.co/f65UuDSOAi",0,1,"Vishakhapatnam, India","@SabinehazanMD Facts about IVM, the SAFEST, Nobel Prize, WONDER drug that is saving DEVELOPING countries like INDIA… https://t.co/f65UuDSOAi"
2022-04-05 06:36:48+00:00,khaki4_service,Khaki4Greenland,"#GoodWillGesture
In two different incidents @BSF_India in #Bengal handed over apprehended women &amp; children to #BGB… https://t.co/Hpo1J7e1Jm",0,0,Motherland,"#GoodWillGesture
In two different incidents @BSF_India in #Bengal handed over apprehended women &amp; children to #BGB… https://t.co/Hpo1J7e1Jm"
2022-04-05 06:36:37+00:00,Ronniemarkets,Ronnie,Recent Match Report - South Africa vs Bangladesh 1st Test 2021/22 | https://t.co/HcbfHDE4UJ #spinners dedication to… https://t.co/CUQbejD5K7,0,0,"London, England",Recent Match Report - South Africa vs Bangladesh 1st Test 2021/22 | https://t.co/HcbfHDE4UJ #spinners dedication to… https://t.co/CUQbejD5K7
2022-04-05 06:36:08+00:00,GYChronicle,Guyana Chronicle,Bangladesh to lodge ICC complaint about umpires and ‘deplorable’ Proteas sledging https://t.co/fIowmNq1vn,0,0,Guyana,Bangladesh to lodge ICC complaint about umpires and ‘deplorable’ Proteas sledging https://t.co/fIowmNq1vn
2022-04-05 06:35:59+00:00,hitfitahlawat,HIT FIT AHLAWAT 🎭,"#Bangladesh has outshined Pakistan in many indicators in last 50 years of its independence, including maintaining a… https://t.co/HvZoSiWn7A",0,0,INDIA,"#Bangladesh has outshined Pakistan in many indicators in last 50 years of its independence, including maintaining a… https://t.co/HvZoSiWn7A"
2022-04-05 06:35:07+00:00,khqtz,‏ً,"@Khnotzer @abieechan Bangladesh, to the east of India on the Bay of Bengal, is a South Asian country marked by lush… https://t.co/5sV22gOKQD",0,1,Indonesia,"@Khnotzer @abieechan Bangladesh, to the east of India on the Bay of Bengal, is a South Asian country marked by lush… https://t.co/5sV22gOKQD"
2022-04-05 06:34:16+00:00,Sumwitt,Sumwit🌍🏳️🕊️,"@LadyVelvet_HFQ Oh! Please stop playing religion card everywhere.
Top Arab countries like UAE, S.Arabia and Qatar g… https://t.co/Yn0n3e7aQ1",0,0,@sumwit on Telegram,"@LadyVelvet_HFQ Oh! Please stop playing religion card everywhere.
Top Arab countries like UAE, S.Arabia and Qatar g… https://t.co/Yn0n3e7aQ1"
2022-04-05 06:33:44+00:00,shubhs79,Shubh,@NehalAzam2 @SameeraKhan It was sikhs general subeg singh and jagjit Singh arora who helped free your bangladesh fr… https://t.co/jiC058ndFX,0,0,Canada,@NehalAzam2 @SameeraKhan It was sikhs general subeg singh and jagjit Singh arora who helped free your bangladesh fr… https://t.co/jiC058ndFX
2022-04-05 06:32:49+00:00,Sadhana_Singh99,SADHANA SINGH,Apprehended Three women and two child were handed over to the Border Guard Bangladesh by BSF due to humanity as wel… https://t.co/iUzDS6CUsU,0,0,,Apprehended Three women and two child were handed over to the Border Guard Bangladesh by BSF due to humanity as wel… https://t.co/iUzDS6CUsU
2022-04-05 06:32:46+00:00,haque_shahidul,MG Shahidul Haque(retd),"#ExtremePoverty: #Bangladesh=3%, #Pakistan=5%, #India=6% &amp; #Nepal= 7%  ..... 
Source: https://t.co/V6WxAy3gnh
https://t.co/xM9htchWJP",0,0,"Dhaka, Bangladesh","#ExtremePoverty: #Bangladesh=3%, #Pakistan=5%, #India=6% &amp; #Nepal= 7%  ..... 
Source: https://t.co/V6WxAy3gnh
https://t.co/xM9htchWJP"
2022-04-05 06:32:32+00:00,amesamie6_9,Amie,"Did Pakistan gave #Putin the idea of killing a raping civilians when you lose a war?
I mean Pakistan has history of… https://t.co/ahtUiLl2Du",0,0,Za Warudo,"Did Pakistan gave #Putin the idea of killing a raping civilians when you lose a war?
I mean Pakistan has history of… https://t.co/ahtUiLl2Du"
2022-04-05 06:32:26+00:00,Maroofa08613647,Maroofa,"https://t.co/Kzj6WNDcZc

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/h8MeFafLGw",0,0,,"https://t.co/Kzj6WNDcZc

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/h8MeFafLGw"
2022-04-05 06:31:41+00:00,Anju_Kaur100,ANJU KAUR,"#GoodWillGesture &amp; #HumanityFirst  by BSF wins Hearts. 
Apprehended Three women and two child were handed over to t… https://t.co/wtRhF4Cz2j",0,1,India,"#GoodWillGesture &amp; #HumanityFirst  by BSF wins Hearts. 
Apprehended Three women and two child were handed over to t… https://t.co/wtRhF4Cz2j"
2022-04-05 06:31:31+00:00,TheShaggyGhost,TheShaggyGhost 💛💙,"Bangladesh really are the crybabies of international cricket. Can we offer them some cheese to go with that whine?

#SAvBAN",0,0,,"Bangladesh really are the crybabies of international cricket. Can we offer them some cheese to go with that whine?

#SAvBAN"
2022-04-05 06:31:25+00:00,80daysbot,DCD,I'm going around the world! I will visit Bangladesh,0,0,,I'm going around the world! I will visit Bangladesh
2022-04-05 06:31:01+00:00,Dhaka_Air,Dhaka Air,"04-05-2022, 12:00 – Air Quality Index is 148 in Dhaka : Unhealthy for Sensitive Groups.  #DhakaAir #airquality #Dhaka #Bangladesh",0,0,"Dhaka, Bangladesh","04-05-2022, 12:00 – Air Quality Index is 148 in Dhaka : Unhealthy for Sensitive Groups.  #DhakaAir #airquality #Dhaka #Bangladesh"
2022-04-05 06:30:48+00:00,GYChronicle,Guyana Chronicle,"South Africa claim victory as Maharaj, Harmer put Bangladesh in a spin https://t.co/cKnVPffhDw",0,0,Guyana,"South Africa claim victory as Maharaj, Harmer put Bangladesh in a spin https://t.co/cKnVPffhDw"
2022-04-05 06:30:00+00:00,TheArtzageHouse,The Artzage House,"The first Labour Minister of India Jagjivan Ram was born on this day in 1908 , popularly known as Babuji , served a… https://t.co/N7KRPSI7e6",0,0,,"The first Labour Minister of India Jagjivan Ram was born on this day in 1908 , popularly known as Babuji , served a… https://t.co/N7KRPSI7e6"
2022-04-05 06:28:43+00:00,RRajeshbhatta,ૐ ରାଜେଶ ଭଟ୍ଟା ૐ🇮🇳(Mahadev Ke Bhakt),"Ganga Jamuna Tehzeeb 

Hindu Muslim Bhai Bhai 

Ramzan mey Ram &amp; Diwali mey Ali

Tolerance &amp; Secularism 

All these… https://t.co/IC0f7pac5V",0,0,"Bhubaneshwar, India","Ganga Jamuna Tehzeeb 

Hindu Muslim Bhai Bhai 

Ramzan mey Ram &amp; Diwali mey Ali

Tolerance &amp; Secularism 

All these… https://t.co/IC0f7pac5V"
2022-04-05 06:27:54+00:00,radhekrishna125,Shitansu89🙏,"@t_d_h_nair The nature of politics in India, Pakistan and Bangladesh has not developed since independence.
Religion… https://t.co/j2Yjq0dcv4",0,0,"Bengaluru, India","@t_d_h_nair The nature of politics in India, Pakistan and Bangladesh has not developed since independence.
Religion… https://t.co/j2Yjq0dcv4"
2022-04-05 06:27:27+00:00,_iamaamir,عَامِر 🇵🇸,"having border line illegal umpiring against bangladesh is extremely peculiar, considering they just beat india at h… https://t.co/KR7Cq9qHZz",0,0,hre | cpt,"having border line illegal umpiring against bangladesh is extremely peculiar, considering they just beat india at h… https://t.co/KR7Cq9qHZz"
2022-04-05 06:27:24+00:00,Shuguft92246552,Shugufta,"https://t.co/dbkjEAwYOV

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/xQVCZJayZ6",1,0,,"https://t.co/dbkjEAwYOV

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/xQVCZJayZ6"
2022-04-05 06:26:16+00:00,RubabSsm,Ssm Rubab,@CryptomalluC @catvillscoin How do you plan to spread awareness about your project in countries/regions where Engli… https://t.co/m3gn95CdXJ,0,0,,@CryptomalluC @catvillscoin How do you plan to spread awareness about your project in countries/regions where Engli… https://t.co/m3gn95CdXJ
2022-04-05 06:25:59+00:00,JohnLloydScharf,𝓙𝓸𝓱𝓷 𝓛𝓵𝓸𝔂𝓭 𝓢𝓬𝓱𝓪𝓻𝓯,"Bangladesh: Muslim policeman abuses Hindu woman for wearing bindi, tries to run her over with his motorbike https://t.co/3OhZ0Ko1xr",0,0,"Salem, Oregon, USA","Bangladesh: Muslim policeman abuses Hindu woman for wearing bindi, tries to run her over with his motorbike https://t.co/3OhZ0Ko1xr"
2022-04-05 06:25:33+00:00,Sujaykumar015,Sujay Majumder,Happy times 😊 #happy #Time #Sujay #Naogaon #Bangladesh @Sujaykumar015 https://t.co/C2pM0SGRuL,0,1,Bogura Bangladesh,Happy times 😊 #happy #Time #Sujay #Naogaon #Bangladesh @Sujaykumar015 https://t.co/C2pM0SGRuL
2022-04-05 06:24:37+00:00,VoiceOfRC,🇮🇳!RC,"Such beautiful sight in Didi's Raj... Not sure why Bangladesh was created though. 
@BJP4Bengal 
https://t.co/OUSM9tt2l4",0,0,"New Delhi, India","Such beautiful sight in Didi's Raj... Not sure why Bangladesh was created though. 
@BJP4Bengal 
https://t.co/OUSM9tt2l4"
2022-04-05 06:23:53+00:00,Rutba91219004,pooja,"https://t.co/5ntYDLfVsw

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/XyOkXagUJp",0,0,,"https://t.co/5ntYDLfVsw

It is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldi… https://t.co/XyOkXagUJp"
2022-04-05 06:23:20+00:00,Saddy40438643,Saddy,"@BilMaaroof @Aalyah05204381 We didn't lose Pakistan and Bangladesh, we amputated the gangrenous filth. More to follow. 😁",0,0,,"@BilMaaroof @Aalyah05204381 We didn't lose Pakistan and Bangladesh, we amputated the gangrenous filth. More to follow. 😁"
2022-04-05 06:23:13+00:00,Yatharth7Pathak,यथार्थ पाठक🇮🇳🚩,"A bad neighbour is a misfortune

Myanmar        - Military Coup 
Srilanka          - Economic Crisis
Pakistan… https://t.co/AM2jvrhIUW",3,4,भारत,"A bad neighbour is a misfortune

Myanmar        - Military Coup 
Srilanka          - Economic Crisis
Pakistan… https://t.co/AM2jvrhIUW"
2022-04-05 06:23:07+00:00,Pramit15382765,Pramit🇮🇳🇺🇦,"@Black_Smear @thewarhead12 @YachtRockerr @visegrad24 Yes india can cope with it, that is why india has never attack… https://t.co/HXjhUltASR",0,0,India,"@Black_Smear @thewarhead12 @YachtRockerr @visegrad24 Yes india can cope with it, that is why india has never attack… https://t.co/HXjhUltASR"
2022-04-05 06:23:04+00:00,OwaisSh07759222,Owais Shah,"https://t.co/3R0j3UIohd is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives,… https://t.co/ABt1ciLlS2",0,0,,"https://t.co/3R0j3UIohd is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives,… https://t.co/ABt1ciLlS2"
2022-04-05 06:22:51+00:00,nipulsangneha,Nipul Kumar 💯% Follow Back,"#vigile eye is Guarding Indian Border. 0n 03 April, #BSF apprehended 3 women with 2 child were handed to… https://t.co/N6xHLk5lCt",1,2,,"#vigile eye is Guarding Indian Border. 0n 03 April, #BSF apprehended 3 women with 2 child were handed to… https://t.co/N6xHLk5lCt"
2022-04-05 06:22:39+00:00,MdMehed18533890,Md.Mehedi Hasan,Goods students from Bangladesh’s https://t.co/sjZPY6tjOB,0,0,Bangladesh,Goods students from Bangladesh’s https://t.co/sjZPY6tjOB
2022-04-05 06:22:33+00:00,CLT_tweet,CLT Campaign,"English to Bengali Translation 
   
https://t.co/1lYWRQZbcI
Call / WhatsApp: +971 502885313… https://t.co/SoSnH9xlki",0,0,"Dubai, U.A.E","English to Bengali Translation 
   
https://t.co/1lYWRQZbcI
Call / WhatsApp: +971 502885313… https://t.co/SoSnH9xlki"
2022-04-05 06:22:31+00:00,BhatZoy42087899,Bhat Zoya,"https://t.co/N0wdee1bcW is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives,… https://t.co/ZKs1pGuLUQ",1,1,,"https://t.co/N0wdee1bcW is the unfolding crisis in Pakistan and Sri Lanka which is forcing countries like Maldives,… https://t.co/ZKs1pGuLUQ"
2022-04-05 06:22:29+00:00,SaffronNeo,SaffronNeo,"@total_woke_ And in West Bengal, it's responsibility of Bangladesh Govt?",0,0,,"@total_woke_ And in West Bengal, it's responsibility of Bangladesh Govt?"
2022-04-05 06:22:03+00:00,TSports_bd,T Sports,"Hawk Eye | Bangladesh vs South Africa | T Sports
দেখুন বিস্তারিতঃ https://t.co/z8hdG13bSt

#HawkEye
#BANvsSA… https://t.co/Zbhp5YXMjJ",0,0,,"Hawk Eye | Bangladesh vs South Africa | T Sports
দেখুন বিস্তারিতঃ https://t.co/z8hdG13bSt

#HawkEye
#BANvsSA… https://t.co/Zbhp5YXMjJ"
2022-04-05 06:21:15+00:00,Prajakta_Singh2,PRAJAKTA SINGH,"Always #HumanityFirst.
#GoodWillGesture.
#IndoBangladeshFriendship 
https://t.co/Sb7i5L3T8K https://t.co/bG4SwAJbwv",3,7,INDIA,"Always #HumanityFirst.
#GoodWillGesture.
#IndoBangladeshFriendship 
https://t.co/Sb7i5L3T8K https://t.co/bG4SwAJbwv"
